trial;tc;nv;feasible;execTime;totalIterations;numSolutionsEvaluation;
1;34589.69382373187;18;true;600000;17698;35851;
2;35510.29244760001;18;true;600008;17421;35393;
3;37177.03196419151;18;true;600000;19089;38641;
4;30279.772157236708;19;true;600009;17282;35083;
5;30290.43200433915;19;true;600005;16804;34113;
6;30355.514756253968;19;true;600036;17085;34697;
7;30365.19336723133;19;true;600014;17091;34679;
8;30524.923714726225;19;true;600002;17932;36365;
9;30596.663557393447;19;true;600029;20141;40635;
10;30604.5127146515;19;true;600017;17855;36133;
11;30617.68805085718;19;true;600267;18322;37119;
12;30621.602576645564;19;true;600006;16615;33779;
13;30667.69620857837;19;true;600806;18564;37579;
14;30688.95936075131;19;true;600009;16189;32905;
15;30779.440228172854;19;true;600011;16863;34243;
16;30890.21007801893;19;true;600005;15192;31061;
17;30915.541048698084;19;true;600007;15876;32341;
18;30922.722552489355;19;true;600971;18130;36749;
19;30947.368401182957;19;true;600016;18873;38207;
20;30950.67004933687;19;true;600014;19052;38543;
21;30972.56992901938;19;true;600012;19034;38447;
22;30976.550242751367;19;true;600013;17779;36021;
23;31004.149806163907;19;true;600048;17097;34735;
24;31620.773559224068;19;true;600021;18457;37357;
25;31634.471884488426;19;true;600020;18370;37223;
26;31704.40488252278;19;true;600009;17192;34929;
27;31839.330730421545;19;true;600005;18300;37077;
28;31886.301760629547;19;true;600009;18145;36679;
29;31934.986071289495;19;true;600010;18287;37041;
30;33439.93929609592;19;true;600012;17709;35891;
