trial;tc;nv;feasible;execTime;totalIterations;numSolutionsEvaluation;
1;12329.802541073657;25;true;600008;41144;82511;
2;12329.802541073657;25;true;600026;40333;80953;
3;12329.802541073657;25;true;600024;40381;81105;
4;12329.802541073657;25;true;600003;40853;81891;
5;12329.802541073657;25;true;600003;41032;82317;
6;12329.802541073657;25;true;600006;39076;78435;
7;12329.802541073657;25;true;600001;41136;82469;
8;12329.802541073657;25;true;600006;41574;83307;
9;12329.802541073657;25;true;600009;40190;80589;
10;12329.802541073657;25;true;600004;39734;79653;
11;12329.802541073659;25;true;600005;41760;83749;
12;12329.802541073659;25;true;600009;41140;82487;
13;12329.802541073659;25;true;600012;38268;76893;
14;12329.802541073659;25;true;600005;40513;81275;
15;12329.802541073659;25;true;600005;41831;83835;
16;12329.802541073659;25;true;600008;40941;82021;
17;12329.802541073659;25;true;600005;39868;79979;
18;12329.802541073659;25;true;600002;40611;81415;
19;12329.802541073659;25;true;600006;41386;83009;
20;12329.802541073659;25;true;600001;40674;81507;
21;12329.802541073659;25;true;600003;40622;81519;
22;12329.802541073659;25;true;600010;39025;78287;
23;12329.802541073659;25;true;600006;38408;77053;
24;12329.80254107366;25;true;600004;40303;80853;
25;12329.80254107366;25;true;600008;42113;84389;
26;12329.80254107366;25;true;600013;39820;79801;
27;12329.80254107366;25;true;600005;39149;78565;
28;12329.848841216468;25;true;600000;39811;79889;
29;12329.8565852302;25;true;600004;40083;80345;
30;12330.402068949741;25;true;600007;40774;81753;
