trial;tc;nv;feasible;execTime;totalIterations;numSolutionsEvaluation;
1;29551.513375281513;44;true;600016;21608;43595;
2;29589.18363507741;44;true;600004;22133;44717;
3;29610.206351124016;44;true;600005;23525;47457;
4;29627.207735042168;44;true;600006;22128;44587;
5;29644.150335743667;44;true;600000;21530;43461;
6;29684.372489532183;44;true;600006;22600;45515;
7;29691.468929989234;44;true;600015;22380;45163;
8;29715.527424246753;44;true;600003;21593;43661;
9;29756.479598037065;44;true;600014;22852;46099;
10;29770.22209492478;44;true;600000;22892;46151;
11;29782.51866947269;44;true;600010;22496;45413;
12;29784.754908120467;44;true;600000;22866;46111;
13;29790.228211187747;44;true;600008;23037;46459;
14;29818.481865871083;44;true;600311;24024;48439;
15;29848.680434155387;44;true;600018;22349;45107;
16;29869.02067773087;44;true;600003;22512;45397;
17;29880.225026784166;44;true;600009;22185;44793;
18;29880.229133687037;44;true;600023;23774;47951;
19;29904.49531299834;44;true;600030;21966;44283;
20;29906.602563359953;44;true;600007;21331;43045;
21;29913.62631167572;44;true;600011;23009;46381;
22;29932.431099351772;44;true;600027;23068;46499;
23;29950.77552680343;44;true;600002;24059;48491;
24;29956.27565127311;44;true;600018;22135;44705;
25;29961.150306704534;44;true;600013;22370;45121;
26;29989.644798155176;44;true;600002;23064;46439;
27;30040.92345454541;44;true;600021;22426;45225;
28;30082.571557098705;44;true;600005;22216;44841;
29;30096.228999416307;44;true;600015;23915;48267;
30;30324.482325339573;44;true;600009;22483;45281;
