trial;tc;nv;feasible;execTime;totalIterations;numSolutionsEvaluation;
1;43088.51246492048;101;true;601999;0;663513;
2;43088.51246492048;101;true;602077;0;656428;
3;43088.51246492048;101;true;602634;0;669122;
4;43088.51246492048;101;true;602767;0;688076;
5;43088.51246492049;101;true;601956;0;653758;
6;43088.51246492049;101;true;601986;0;653185;
7;43088.51246492049;101;true;602099;0;676476;
8;43088.51246492049;101;true;602137;0;660893;
9;43088.51246492049;101;true;601937;0;670174;
10;43088.51246492049;101;true;601978;0;684519;
11;43088.51246492049;101;true;601997;0;673812;
12;43088.51246492049;101;true;602058;0;692644;
13;43088.51246492049;101;true;602125;0;659443;
14;43088.51246492049;101;true;602187;0;670316;
15;43088.51246492049;101;true;602043;0;681628;
16;43088.51246492049;101;true;602101;0;683063;
17;43088.51246492049;101;true;602197;0;680420;
18;43088.51246492049;101;true;602191;0;679400;
19;43088.51246492049;101;true;602624;0;688301;
20;43088.51246492049;101;true;602669;0;684415;
21;43088.51246492049;101;true;602625;0;668384;
22;43088.51246492049;101;true;602745;0;688313;
23;43088.51246492049;101;true;602032;0;635256;
24;43088.51246492049;101;true;602057;0;701007;
25;43088.51246492049;101;true;602030;0;682168;
26;43088.51246492049;101;true;602060;0;670286;
27;43455.5047269652;101;true;601974;0;542596;
28;43455.5047269652;101;true;602027;0;635802;
29;43455.5047269652;101;true;602056;0;581204;
30;43467.91377333424;101;true;602101;0;551764;
