trial;tc;nv;feasible;execTime;totalIterations;numSolutionsEvaluation;
1;61123.73204832708;100;true;602099;0;965593;
2;61230.7936971623;100;true;603587;0;960866;
3;61412.101847110345;100;true;603770;0;949640;
4;61422.53320949951;100;true;603971;0;926132;
5;61450.37785078211;100;true;604001;0;958148;
6;61470.54875870894;100;true;602287;0;948722;
7;61549.91863195645;100;true;602389;0;947522;
8;61594.13688232618;100;true;604061;0;963451;
9;61613.96597265348;100;true;603420;0;923701;
10;61625.23340230909;100;true;603393;0;924843;
11;61634.69381492974;100;true;602446;0;931781;
12;61674.01203866052;100;true;603328;0;942283;
13;61815.09495329348;100;true;602168;0;919218;
14;61895.10439796208;100;true;602286;0;961524;
15;61925.55559576281;100;true;603654;0;983740;
16;61960.46106209187;100;true;601990;0;938131;
17;61974.64279520213;100;true;602241;0;942659;
18;61985.28460887344;100;true;602246;0;953736;
19;62000.0204452233;100;true;603458;0;902024;
20;62018.18957860259;100;true;602173;0;941153;
21;62020.78298340934;100;true;602194;0;919644;
22;62061.037187723;100;true;602404;0;919577;
23;62101.68454690443;100;true;602263;0;948726;
24;62113.395643224845;100;true;602159;0;954072;
25;62119.78027922102;100;true;602506;0;930175;
26;62229.31808684003;100;true;603301;0;946299;
27;62230.84302031308;100;true;603525;0;926784;
28;62278.24074174305;100;true;602465;0;922451;
29;62282.42090363028;100;true;602153;0;979720;
30;62842.25583210006;100;true;602082;0;964532;
