trial;tc;nv;feasible;execTime;totalIterations;numSolutionsEvaluation;
1;33501.77491549843;15;true;602882;0;603177;
2;33784.1670588022;15;true;602740;0;682459;
3;33820.87805845247;15;true;605178;0;671246;
4;33870.32561296497;15;true;604789;0;703031;
5;33967.383722399674;15;true;603194;0;630301;
6;34444.23723005392;15;true;603847;0;663374;
7;34552.74104557748;15;true;604849;0;695611;
8;34587.60392804693;15;true;604222;0;687294;
9;35232.45705640524;15;true;604317;0;668555;
10;33502.63467577336;16;true;605095;0;766099;
11;33618.08092284936;16;true;603500;0;754775;
12;34163.97326959626;16;true;602843;0;813240;
13;34241.50743727614;16;true;604766;0;726301;
14;34254.914643927514;16;true;604090;0;736816;
15;34311.593689281464;16;true;602599;0;736650;
16;34446.92493193284;16;true;602418;0;691167;
17;34458.943205618365;16;true;602434;0;677578;
18;34476.437972854605;16;true;604636;0;781501;
19;34479.51698180361;16;true;606234;0;741330;
20;34507.21346493456;16;true;602230;0;764525;
21;34524.38931050346;16;true;601911;0;779626;
22;34569.80582555927;16;true;602897;0;656794;
23;34578.92260858217;16;true;605545;0;723857;
24;34598.3782925337;16;true;602920;0;715814;
25;34891.17925157745;16;true;602280;0;705553;
26;34934.51101048303;16;true;603309;0;673949;
27;34988.31276322065;16;true;602532;0;753740;
