trial;tc;nv;feasible;execTime;totalIterations;numSolutionsEvaluation;
1;30370.206458253477;31;true;600002;54652;112019;
2;30647.11159316352;31;true;600000;61606;125946;
3;30707.975783398044;31;true;600011;50199;103153;
4;30756.623665958636;31;true;600001;51141;104984;
5;30796.804952281942;31;true;600006;47071;96859;
6;30882.423756666503;31;true;600000;54028;110731;
7;30898.961658831293;31;true;600007;49981;102717;
8;30909.025483820053;31;true;600004;47340;97403;
9;30920.488227713253;31;true;600006;51746;106223;
10;30933.080606897664;31;true;600008;50521;103692;
11;30941.417886519233;31;true;600006;46743;96245;
12;30999.057942074884;31;true;600005;50350;103376;
13;31080.959154973483;31;true;600005;51950;106593;
14;31087.600379333453;31;true;600001;51524;105770;
15;31144.059716587886;31;true;600007;47354;97398;
16;31213.065722421714;31;true;600000;49556;101825;
17;31242.47423905149;31;true;600003;48669;100039;
18;31244.176860094176;31;true;600002;47387;97468;
19;31278.307137608088;31;true;600004;56583;115912;
20;31326.959924039544;31;true;600004;49860;102468;
21;31355.920070119537;31;true;600004;50363;103469;
22;31421.578200824577;31;true;600001;51560;105853;
23;31448.685963082124;31;true;600008;54918;112519;
24;31494.987796476304;31;true;600000;49332;101383;
25;31499.025571712315;31;true;600005;55327;113315;
26;31653.624848366133;31;true;600005;49877;102465;
27;31680.91575666858;31;true;600004;50115;102894;
28;31797.474857673467;31;true;600012;49520;101806;
29;30837.23102413021;32;true;600005;47131;97001;
30;31144.191697174985;32;true;600002;61419;125526;
