trial;tc;nv;feasible;execTime;totalIterations;numSolutionsEvaluation;
1;53270.06037689609;90;true;600005;72606;147561;
2;53314.00730405512;90;true;600001;65905;134121;
3;53424.96848303178;90;true;600001;78205;158776;
4;53449.52612461948;90;true;600013;68659;139641;
5;53475.72412395966;90;true;600007;73479;149252;
6;53481.798302781935;90;true;600000;70152;142619;
7;53500.25972329648;90;true;600003;72927;148159;
8;53518.675744118045;90;true;600004;71411;145108;
9;53565.56088453295;90;true;600005;54118;110553;
10;53589.69434349658;90;true;600005;71944;146223;
11;53594.95208370206;90;true;600000;51436;105151;
12;53620.15281561491;90;true;600004;72626;147556;
13;53635.061337274456;90;true;600009;70001;142325;
14;53646.42426797174;90;true;600003;71317;144910;
15;53647.14477511378;90;true;600014;60151;122630;
16;53650.703206928134;90;true;600000;75533;153415;
17;53671.18474544231;90;true;600001;66467;135271;
18;53676.553598810584;90;true;600009;59040;120378;
19;53702.78507593936;90;true;600001;57713;117733;
20;53708.08617798943;90;true;600000;69825;141991;
21;53728.95144782533;90;true;600013;74502;151379;
22;53804.80591214912;90;true;600005;62813;127957;
23;53813.240198056956;90;true;600003;67737;137805;
24;53824.37514087169;90;true;600013;80587;163472;
25;53888.023812768384;90;true;600009;79362;161051;
26;53954.67506218607;90;true;600001;76379;155101;
27;53978.215981966154;90;true;600007;66147;134594;
28;54010.56929453908;90;true;600005;67880;138070;
29;54130.99553869256;90;true;600004;56256;114837;
30;54164.682891703014;90;true;600013;63732;129787;
