trial;tc;nv;feasible;execTime;totalIterations;numSolutionsEvaluation;
1;24009.235033975743;35;true;600002;158285;322746;
2;24324.23557269223;35;true;600006;155552;317383;
3;24776.67304400837;35;true;600001;151952;310178;
4;24866.902361065233;35;true;600003;150498;307254;
5;24911.331317396907;35;true;600002;164125;334516;
6;25046.13873107623;35;true;600001;147748;301711;
7;25432.26048290052;35;true;600002;152376;310837;
8;25468.82202740095;35;true;600000;186989;380269;
9;25679.298817572453;35;true;600001;161578;329596;
10;25723.156769795907;35;true;600004;149246;304870;
11;25842.756303170583;35;true;600003;163833;333976;
12;26036.385980444695;35;true;600005;149153;304550;
13;26081.852047862216;35;true;600004;147964;302294;
14;26591.508706573597;35;true;600000;155820;317916;
15;26631.56491821152;35;true;600000;152985;312368;
16;26661.99206038178;35;true;600002;146686;299699;
17;27006.75828403571;35;true;600007;169937;346212;
18;27029.56428874523;35;true;600005;158957;324248;
19;27414.86039043419;35;true;600000;181094;368675;
20;27858.768203204643;35;true;600003;175155;356508;
21;27859.87291087034;35;true;600004;151197;308703;
22;24635.71787867785;36;true;600004;179231;364703;
23;25236.92862605733;36;true;600000;163229;332623;
24;25239.463017704697;36;true;600000;186550;379282;
25;26630.941447404693;36;true;600000;160219;326785;
26;26749.659773155847;36;true;600003;151167;308605;
27;27351.939833306835;36;true;600003;158757;323732;
28;27470.213627454777;36;true;600003;153454;313017;
29;26647.586138132607;37;true;600005;157222;320619;
30;28023.947687427284;37;true;600008;159775;325906;
