trial;tc;nv;feasible;execTime;totalIterations;numSolutionsEvaluation;
1;42992.395444587244;91;true;600008;23692;47721;
2;43003.9824828633;91;true;600016;24310;48853;
3;43072.34193751716;91;true;600010;24292;48823;
4;43127.45943049117;91;true;600026;24209;48705;
5;43277.986209649076;91;true;600008;24305;48841;
6;43364.446987682146;91;true;600000;23996;48287;
7;43410.226305112315;91;true;600002;24675;49591;
8;43437.871067576794;91;true;600000;23751;47821;
9;43568.97786901635;91;true;600012;24212;48731;
10;43637.51011008334;91;true;600011;24075;48345;
11;42471.00097107298;92;true;600004;23753;47787;
12;42495.69927829562;92;true;600018;24099;48473;
13;42495.89762609365;92;true;600004;24729;49743;
14;42535.20705019399;92;true;600001;24568;49331;
15;42536.1807162289;92;true;600029;25419;51129;
16;42556.60761541177;92;true;600021;24376;48951;
17;42556.60761541177;92;true;600019;24548;49295;
18;42618.66899118292;92;true;600008;23241;46743;
19;42632.593939324855;92;true;600010;24363;49019;
20;42643.594396793414;92;true;600006;24537;49305;
21;42647.13970501353;92;true;600004;24707;49585;
22;42669.107848240514;92;true;600013;25940;52051;
23;42671.95219776107;92;true;600010;24706;49711;
24;42724.85572683695;92;true;600013;23663;47513;
25;42753.94736906616;92;true;600022;23524;47297;
26;42811.84223916177;92;true;600029;24003;48251;
27;42974.171869990605;92;true;600017;24343;48957;
28;43086.668733471415;92;true;600011;24288;48851;
29;43111.303898087805;92;true;600014;24881;50029;
30;43251.381459020165;92;true;600012;24684;49601;
