trial;tc;nv;feasible;execTime;totalIterations;numSolutionsEvaluation;
1;41892.48641597806;12;true;600309;1239;2799;
2;43013.71194564379;12;true;601593;1513;3367;
3;43194.424807781164;12;true;601462;1161;2659;
4;43199.17105485538;12;true;600033;3591;7407;
5;43361.63145053645;12;true;600089;1308;2935;
6;43481.334854815774;12;true;606368;788;1943;
7;44351.00645598478;12;true;608198;1056;2475;
8;47776.44614602143;12;true;600009;1285;2891;
9;38107.77277976309;13;true;600747;1284;2909;
10;38209.78801451163;13;true;602494;689;1699;
11;38265.936243697346;13;true;600809;832;1967;
12;39050.255046992585;13;true;602740;409;1171;
13;39745.88146563957;13;true;603439;657;1655;
14;39758.38817614882;13;true;606510;927;2165;
15;39814.82781304564;13;true;600125;935;2205;
16;39914.66241753922;13;true;600002;1354;3011;
17;39942.304974400075;13;true;601619;1199;2711;
18;40097.36385879051;13;true;600005;501;1343;
19;40148.0015104551;13;true;600009;990;2321;
20;40151.50366149752;13;true;602439;564;1467;
21;40324.25388125664;13;true;601926;2064;4447;
22;40598.18115276298;13;true;600002;1450;3207;
23;40607.27081863473;13;true;600085;1090;2485;
24;40957.450635049194;13;true;603961;679;1655;
25;41522.31703314728;13;true;605779;741;1819;
26;41710.05484657029;13;true;602072;712;1797;
27;41933.0681844342;13;true;600012;564;1477;
28;41976.78534202018;13;true;600000;707;1753;
29;42003.28286169428;13;true;610943;435;1219;
30;42888.6616315518;13;true;600632;743;1833;
