trial;tc;nv;feasible;execTime;totalIterations;numSolutionsEvaluation;
1;28009.464820459114;40;true;600023;12397;25001;
2;28147.558506754653;40;true;600152;10396;21097;
3;28203.65023090293;40;true;600006;10210;20713;
4;28215.319622610597;40;true;600024;10764;21785;
5;28272.96828644949;40;true;600047;9803;19937;
6;28280.822865175047;40;true;600006;10602;21477;
7;28286.109198516882;40;true;600031;10878;22035;
8;28286.625120027024;40;true;600048;10204;20709;
9;28321.45175248001;40;true;600014;9104;18559;
10;28452.586516627034;40;true;600046;9850;20031;
11;28458.184322462053;40;true;600018;10533;21339;
12;28459.484940450442;40;true;600000;9165;18707;
13;28479.310833620275;40;true;600017;10256;20839;
14;28551.54318162242;40;true;600008;9283;18923;
15;28551.754058647995;40;true;600033;10093;20493;
16;28556.105530214725;40;true;600009;10543;21361;
17;28622.78681821855;40;true;600082;11780;23789;
18;28622.78681821855;40;true;601306;11780;23789;
19;28644.140201981667;40;true;600014;8093;16599;
20;28747.38023362687;40;true;600004;9467;19267;
21;28811.53859691748;40;true;600012;10140;20583;
22;28968.447293518755;40;true;600015;9686;19701;
23;28162.77715625677;41;true;600033;9434;19191;
24;28325.738895636874;41;true;600033;10094;20477;
25;28349.582273008156;41;true;600017;8622;17613;
26;28391.533778319095;41;true;600009;10207;20693;
27;28524.7675989052;41;true;600044;10450;21155;
28;28525.53657679405;41;true;600026;8944;18281;
29;28599.93674361999;41;true;600002;10939;22099;
30;28616.534771892635;41;true;600000;10677;21619;
