trial;tc;nv;feasible;execTime;totalIterations;numSolutionsEvaluation;
1;23663.033131203065;33;true;600000;0;1301096;
2;23675.647806157915;33;true;600023;0;1792192;
3;24653.50788845271;34;true;600003;0;1480113;
4;25189.04892118585;34;true;600028;0;1647882;
5;25324.738996699994;34;true;600000;0;1524086;
6;25397.43993308461;34;true;600003;0;1418592;
7;25452.377921946798;34;true;600000;0;1928872;
8;25783.031161627732;34;true;600008;0;1790001;
9;25948.079320606405;34;true;600001;0;1531101;
10;26501.659893375716;34;true;600024;0;1323910;
11;24525.439085829465;35;true;600034;0;1897318;
12;24756.98622563395;35;true;600027;0;1814541;
13;25338.37182734036;35;true;600025;0;1833151;
14;25817.85388272716;35;true;600008;0;1614614;
15;25873.227479954752;35;true;600022;0;1805953;
16;26100.057335136968;35;true;600031;0;1466454;
17;26119.879412828624;35;true;600013;0;1477951;
18;26205.144335096054;35;true;600008;0;1628501;
19;26333.87242893713;35;true;600025;0;1641555;
20;26352.876755953002;35;true;600018;0;1791401;
21;26515.103768822915;35;true;600015;0;1679194;
22;26612.09730166927;35;true;600027;0;1951966;
23;26718.31267786344;35;true;600020;0;1544883;
24;27914.750287602747;35;true;600035;0;1814995;
25;26377.705860898124;36;true;600007;0;2123664;
26;26708.011804804926;36;true;600017;0;1880049;
27;27692.497929832803;36;true;600010;0;1542353;
28;27815.325627107755;36;true;600029;0;1880229;
