trial;tc;nv;feasible;execTime;totalIterations;numSolutionsEvaluation;
1;45440.75982013808;61;true;600034;0;2278588;
2;45504.46196173906;61;true;600034;0;2265840;
3;45563.54527721906;61;true;600019;0;2345517;
4;45605.416927756305;61;true;600039;0;2325779;
5;45646.31491957862;61;true;600015;0;2333567;
6;45727.382647694285;61;true;600034;0;2357949;
7;45741.99476842157;61;true;600043;0;2278662;
8;45744.63587223036;61;true;600035;0;2293951;
9;45748.19609582652;61;true;600031;0;2308176;
10;45758.244874951415;61;true;600018;0;2242162;
11;45814.45237988828;61;true;600023;0;2264800;
12;45818.86801733741;61;true;600002;0;2307805;
13;45821.97384450152;61;true;600023;0;2270095;
14;45832.80729858048;61;true;600005;0;2310557;
15;45840.27725106644;61;true;600003;0;2291442;
16;45887.52694353146;61;true;600018;0;2319613;
17;45916.7416738284;61;true;600036;0;2281807;
18;45924.67936399175;61;true;600000;0;2281709;
19;45933.77731144081;61;true;600039;0;2262801;
20;45940.34340579148;61;true;600006;0;2320819;
21;45940.44305379883;61;true;600010;0;2322053;
22;45955.14727460661;61;true;600028;0;2294053;
23;45958.413115245006;61;true;600023;0;2350179;
24;45968.11949757342;61;true;600034;0;2355427;
25;45975.15140277699;61;true;600008;0;2230545;
26;45982.517328605834;61;true;600044;0;2316975;
27;46042.77889923893;61;true;600039;0;2256433;
28;46043.16650147956;61;true;600016;0;2321356;
29;46056.74391278967;61;true;600018;0;2331401;
30;46127.52003653967;61;true;600007;0;2312994;
