trial;tc;nv;feasible;execTime;totalIterations;numSolutionsEvaluation;
1;26692.531575374647;15;true;600012;0;1085317;
2;26694.72665376668;15;true;600016;0;1375802;
3;26806.74372636176;15;true;600016;0;1296858;
4;27219.732344292883;15;true;2525893;0;263762;
5;27231.605807833235;15;true;600014;0;1177032;
6;27247.56755620776;15;true;600001;0;1450806;
7;27251.427294656383;15;true;2529584;0;272899;
8;27254.179122517224;15;true;600027;0;1451598;
9;27292.143985271527;15;true;600016;0;1532812;
10;27328.000956283133;15;true;600008;0;1221771;
11;27358.078220169096;15;true;600033;0;1192086;
12;27404.039795225704;15;true;600034;0;1301978;
13;27478.082471881444;15;true;600033;0;1452934;
14;27523.427801339207;15;true;600000;0;1249157;
15;27555.404956272956;15;true;600037;0;1305465;
16;27559.911462854376;15;true;600025;0;1367618;
17;27602.54585083109;15;true;600033;0;1393400;
18;27767.698357375277;15;true;600027;0;1463456;
19;27997.794056581555;15;true;600022;0;1370300;
20;28028.62311825702;15;true;2535696;0;228788;
21;28111.70936030469;15;true;600021;0;1417261;
22;28144.909221682792;15;true;600004;0;1495514;
