trial;tc;nv;feasible;execTime;totalIterations;numSolutionsEvaluation;
1;43211.423127907474;99;true;600218;0;799014;
2;43224.20451743741;99;true;600251;0;860744;
3;43282.05702326442;99;true;600217;0;825962;
4;43305.08124395627;99;true;600293;0;830245;
5;43384.561214231995;99;true;600324;0;819167;
6;43384.74146982687;99;true;600275;0;879227;
7;43384.74146982687;99;true;600486;0;858181;
8;43386.87581305727;99;true;600395;0;898266;
9;43431.45408540424;99;true;600373;0;825442;
10;43804.05698265068;99;true;600540;0;864267;
11;43873.68275349023;99;true;600204;0;868284;
12;43878.83467386052;99;true;600653;0;833050;
13;43879.305974473675;99;true;600324;0;752391;
14;43542.8535393884;100;true;600174;0;946014;
15;43795.63418426751;100;true;600555;0;889533;
16;43800.66074452527;100;true;600468;0;883729;
17;43957.12424815934;100;true;600503;0;860360;
18;43972.822597373146;100;true;600476;0;846221;
19;43972.822597373146;100;true;600131;0;874362;
20;43973.979086444655;100;true;600497;0;864316;
21;43977.43918692035;100;true;600540;0;880465;
22;44016.48507403511;100;true;600564;0;868152;
23;44236.00466482095;100;true;600376;0;893259;
24;44314.71930862081;100;true;600576;0;869413;
25;44330.34136665533;100;true;600547;0;858801;
26;44342.01178864228;100;true;600394;0;864046;
27;44346.75506786971;100;true;600520;0;848226;
28;44466.62680944798;100;true;600046;0;873126;
29;44052.795766071235;101;true;600189;0;1008832;
30;44642.27288556085;101;true;600533;0;928468;
