trial;tc;nv;feasible;execTime;totalIterations;numSolutionsEvaluation;
1;60810.010571799576;100;true;600429;0;1135419;
2;60931.142024279216;100;true;600548;0;1183111;
3;61057.930908714865;100;true;600725;0;1201275;
4;61198.36750939894;100;true;600442;0;1243973;
5;61226.855665857736;100;true;600196;0;1138893;
6;61236.41961196477;100;true;600415;0;1087794;
7;61257.68592266155;100;true;600701;0;1153128;
8;61335.28548464062;100;true;600576;0;1178301;
9;61376.85134588283;100;true;600331;0;1162043;
10;61380.82928396869;100;true;600576;0;1124722;
11;61436.10013407433;100;true;600127;0;1090715;
12;61541.00713577049;100;true;600063;0;1162637;
13;61545.9413709436;100;true;600837;0;1211536;
14;61554.09506746324;100;true;600320;0;1239195;
15;61601.1704801247;100;true;600525;0;1104813;
16;61624.6240947758;100;true;600176;0;1143118;
17;61658.302542736135;100;true;600082;0;1122444;
18;61741.3743197079;100;true;600028;0;1248477;
19;61781.72782231971;100;true;600330;0;1138761;
20;61805.20208421117;100;true;600742;0;1115098;
21;61841.71122564333;100;true;600262;0;1174049;
22;61930.479369505585;100;true;600102;0;1152210;
23;61930.479369505585;100;true;600600;0;1200079;
24;61939.46362796222;100;true;600685;0;1156651;
25;61987.06637241179;100;true;600679;0;1145372;
26;62091.45004072605;100;true;600107;0;1178000;
27;62128.22923282789;100;true;600408;0;1160079;
28;62264.597131541166;100;true;600477;0;1139000;
29;62382.02990204558;100;true;600616;0;1101354;
30;62581.86063359832;100;true;600903;0;1050533;
