trial;tc;nv;feasible;execTime;totalIterations;numSolutionsEvaluation;
1;53370.209624976575;82;true;601102;0;1210628;
2;53609.66677174726;82;true;600377;0;1169366;
3;53495.21964012569;83;true;600832;0;1258540;
4;53572.9481890103;83;true;600604;0;1268343;
5;53592.63894546644;83;true;601117;0;1304982;
6;53625.667713840565;83;true;600170;0;1283793;
7;53643.23756854865;83;true;600914;0;1265675;
8;53644.971605771054;83;true;600384;0;1267615;
9;53950.712761440656;83;true;600449;0;1191329;
10;54117.65169006875;83;true;600210;0;1313768;
11;54259.24157439435;83;true;600182;0;1249079;
12;54298.138983716475;83;true;601187;0;1250787;
13;54408.807141900295;83;true;600955;0;1215023;
14;54529.01459468354;83;true;600459;0;1201562;
15;54565.61596698027;83;true;601490;0;1283788;
16;53827.25924022796;84;true;600289;0;1273008;
17;54014.55095257177;84;true;600844;0;1243874;
18;54354.1214895606;84;true;600792;0;1297814;
19;54474.022730781835;84;true;600760;0;1193182;
20;54569.68727252296;84;true;601736;0;1221489;
21;54594.537591807486;84;true;601547;0;1255370;
22;54617.254419185854;84;true;601626;0;1253728;
23;54630.080023137154;84;true;600727;0;1227204;
24;54670.93248221437;84;true;601076;0;1304404;
25;54677.14818605856;84;true;600638;0;1178735;
26;54683.866233613066;84;true;600376;0;1267485;
27;54791.93404656553;84;true;601047;0;1298262;
28;54937.28827560972;84;true;600368;0;1308659;
29;54899.096333026304;85;true;600674;0;1193865;
30;55080.61152501655;85;true;600724;0;1312759;
