feasible,number of vehicles,total cost,time millis
true,109,59212.72233904773,1832
true,108,61106.57979748283,2879
true,108,47956.222011973645,4023
true,107,48406.48493254882,4024
true,107,47956.222011973645,4197
true,106,48422.61434896745,4198
true,106,47953.37546265684,4342
true,105,59208.44031592731,23206
true,105,46314.25361694228,24062
true,104,46413.10513380646,24063
true,104,46313.95093453421,24206
true,103,46317.31317822938,24208
true,103,46317.31317822938,24273
true,102,56295.11175789788,66767
true,102,46429.212728764156,67716
true,101,53430.3904128658,108021
true,101,46485.86865580427,108992
true,100,53281.95810693714,168698
true,100,47800.68521752903,169206
true,99,51648.37741625479,234427
true,99,45902.38195899626,234849
true,98,50730.64047496593,493251
true,98,44945.72212166431,493700
true,98,44945.72212166431,1093704
true,98,44945.72212166431,1093762
