feasible,number of vehicles,total cost,time millis
true,28,84161.44740937317,1383
true,27,87713.27233710578,1387
true,27,64169.967876616836,3591
true,26,95564.51647532205,3829
true,26,57253.674816634884,6110
true,25,60840.111305454615,6113
true,25,57785.16744534494,7083
true,24,85067.54865551369,7288
true,24,58498.655558656916,8878
true,23,92222.27904811568,9563
true,23,62979.598376622365,10830
true,22,92344.57939504107,12804
true,22,63503.565247509774,14428
true,21,88435.23507721357,18081
true,21,69839.37083700144,19935
true,20,87359.89629614941,21638
true,20,69338.31864598549,23042
true,19,79270.83085066256,48759
true,19,69270.23071110876,49514
true,18,79123.60948487447,101742
true,18,70461.53962016126,102862
true,18,70461.53962016126,702899
true,18,70461.53962016126,703086
