feasible,number of vehicles,total cost,time millis
true,27,59885.956324437124,1310
true,26,86039.71147983018,2487
true,26,42833.18755567697,5018
true,25,87503.98210934727,6568
true,25,43776.99543124216,10683
true,24,82942.58246811455,11647
true,24,42779.73130189967,15937
true,23,82563.90311672378,18120
true,23,42956.43489429286,19739
true,22,80910.60713967256,23610
true,22,44633.50449802481,25691
true,21,74835.21816993706,32779
true,21,43996.63469272936,35252
true,20,77951.5716720498,49048
true,20,43818.513054868796,52304
true,19,72278.08973721658,64814
true,19,44800.26549811504,67641
true,18,70465.32128416117,129037
true,18,45775.349745065476,131514
true,17,68041.77085172305,358008
true,17,45341.50245493776,359870
true,17,45341.50245493776,959904
true,17,45341.50245493776,960166
