trial;tc;nv;feasible;execTime;totalIterations;numSolutionsEvaluation;
1;39791.537363613184;36;true;600002;18292;37219;
2;40859.7760532377;36;true;600013;17905;36499;
3;41001.13121360269;36;true;600020;18872;38291;
4;41791.79003769084;36;true;600017;19075;38717;
5;39190.399686941666;37;true;600020;18415;37453;
6;39289.64249705464;37;true;600015;19519;39569;
7;39428.996970838285;37;true;600012;19829;40229;
8;39480.00018135825;37;true;600002;19387;39335;
9;39489.562941703654;37;true;600024;19311;39197;
10;39716.818526400835;37;true;600007;19467;39475;
11;39769.42306008389;37;true;600211;19013;38547;
12;39883.77263166013;37;true;600000;19020;38569;
13;39975.792052238765;37;true;600014;20577;41639;
14;40097.63671830059;37;true;600001;17589;35853;
15;40129.76424126007;37;true;600006;17581;35835;
16;40156.997904938326;37;true;600011;17658;36005;
17;40660.40285451732;37;true;600024;19158;38879;
18;40852.3325306934;37;true;600008;18468;37573;
19;38313.86119419067;38;true;600001;18930;38435;
20;38371.295066682476;38;true;600006;19298;39143;
21;38472.3054856041;38;true;600009;17344;35367;
22;38548.98015118531;38;true;601626;18773;38097;
23;38617.75670665242;38;true;600014;18482;37581;
24;38649.43569288816;38;true;600001;18947;38437;
25;38893.291406062934;38;true;600001;18353;37359;
26;38893.291406062934;38;true;600014;18056;36765;
27;38895.297066386585;38;true;600013;20019;40493;
28;39445.625114835886;38;true;600005;18119;36841;
29;39477.244395181195;38;true;600004;17881;36335;
30;39540.48615407929;38;true;600014;19249;39027;
