trial;tc;nv;feasible;execTime;totalIterations;numSolutionsEvaluation;
1;18978.356740987423;32;true;120006;1480;3161;
2;19774.942093063437;32;true;121088;2360;4879;
3;21406.764192109054;32;true;120398;1121;2477;
4;21416.19361993339;32;true;122307;1861;3913;
5;22553.89325614767;32;true;120015;1462;3129;
6;23284.744301265902;32;true;120018;1012;2291;
7;18550.74114569529;33;true;120002;1552;3321;
8;18572.038894234836;33;true;120015;1190;2617;
9;18621.348856766683;33;true;120024;737;1721;
10;18781.24659615785;33;true;120014;1363;2959;
11;18792.087396051706;33;true;121225;1282;2783;
12;18870.034460065333;33;true;120008;1426;3069;
13;18960.550836571107;33;true;120010;1014;2247;
14;18960.550836571107;33;true;120010;1039;2297;
15;18967.268307538776;33;true;120005;587;1429;
16;19013.15182966796;33;true;120019;1300;2811;
17;19033.554210613413;33;true;120004;936;2103;
18;19049.074786152498;33;true;120021;1255;2743;
19;19064.859803809282;33;true;120004;1832;3859;
20;19070.346683401993;33;true;120012;1777;3739;
21;19092.882559433598;33;true;121058;1144;2509;
22;19298.15832159903;33;true;120006;1486;3189;
23;19349.704428755853;33;true;120021;811;1861;
24;19421.955625365423;33;true;120364;1405;3023;
25;19493.20979310015;33;true;120010;1141;2505;
26;19710.842695706935;33;true;120011;948;2117;
27;20242.12973041627;33;true;120458;822;1871;
28;20311.665249724578;33;true;120647;1198;2629;
29;20375.81667203798;33;true;120079;803;1851;
30;20595.143606004855;33;true;120020;998;2247;
