trial;tc;nv;feasible;execTime;totalIterations;numSolutionsEvaluation;
1;29173.393880818017;16;true;157740;9;67;
2;29814.31920323808;16;true;143672;6;51;
3;30109.95077729114;16;true;142985;16;75;
4;30109.95077729114;16;true;143030;16;75;
5;31785.166935179022;16;true;152327;6;57;
6;35996.02180420229;16;true;127345;3;39;
7;27770.74078252093;17;true;143886;9;59;
8;28465.925993538545;17;true;132834;9;59;
9;28903.300088491873;17;true;120656;16;71;
10;28999.210587614623;17;true;138567;10;57;
11;29021.66791096501;17;true;158480;6;49;
12;29105.85690657269;17;true;152958;7;57;
13;29157.18458668661;17;true;123837;5;41;
14;29157.18458668661;17;true;126739;5;41;
15;29512.36581196132;17;true;137268;4;43;
16;29848.624341736977;17;true;144758;4;47;
17;29957.06678382544;17;true;124021;7;45;
18;30497.49938392293;17;true;134576;3;33;
19;30541.065521706507;17;true;126102;12;59;
20;30545.986600121054;17;true;129998;8;55;
21;30582.35341694237;17;true;130379;7;51;
22;30973.106934155967;17;true;143331;8;59;
23;31392.5422386086;17;true;140401;7;55;
24;38006.70205703099;17;true;121385;6;51;
25;38467.02811701398;17;true;140589;8;65;
26;39848.58873065245;17;true;131074;6;51;
27;29347.766616758894;18;true;123866;8;57;
28;30127.46728915895;18;true;141384;6;45;
29;30139.16750174693;18;true;123632;8;61;
30;30158.558367357604;18;true;130958;3;35;
