instance;nv;tc
lc1_10_1;100;42488.66
lc1_10_2;94;44548.51
lc1_10_3;79;44718.39
lc1_10_4;73;37515.04
lc1_10_5;100;42477.4
lc1_10_6;101;42838.39
lc1_10_7;100;42854.99
lc1_10_8;98;42949.56
lc1_10_9;91;42504.05
lc1_10_10;87;42008.65
lc2_10_1;30;16879.24
lc2_10_2;30;20901.56
lc2_10_3;29;19325.04
lc2_10_4;29;17886.97
lc2_10_5;31;17137.53
lc2_10_6;31;17194.08
lc2_10_7;31;18389.37
lc2_10_8;30;17015.03
lc2_10_9;30;18225.3
lc2_10_10;29;17043.64
lr1_10_1;100;56744.91
lr1_10_2;80;49349.84
lr1_10_3;54;41609.41
lr1_10_4;27;30925.04
lr1_10_5;58;59894.44
lr1_10_6;47;49286.15
lr1_10_7;35;38900.06
lr1_10_8;24;30101.67
lr1_10_9;48;52123.26
lr1_10_10;38;45956.67
lr2_10_1;17;63318.21
lr2_10_2;14;51763.32
lr2_10_3;10;42954.99
lr2_10_4;8;26626.55
lr2_10_5;13;55598.25
lr2_10_6;11;46270.87
lr2_10_7;8;43212.14
lr2_10_8;6;26753.61
lr2_10_9;12;51260.99
lr2_10_10;10;46602.27
lrc1_10_1;82;49111.78
lrc1_10_2;71;45548.30
lrc1_10_3;53;35626.03
lrc1_10_4;40;27264.59
lrc1_10_5;72;50324.57
lrc1_10_6;67;45153.83
lrc1_10_7;60;41762.77
lrc1_10_8;55;41717.75
lrc1_10_9;53;39362.93
lrc1_10_10;47;36684.14
lrc2_10_1;22;34463.46
lrc2_10_2;19;39078.66
lrc2_10_3;16;27313.10
lrc2_10_4;11;23256.89
lrc2_10_5;16;40855.24
lrc2_10_6;17;30910.65
lrc2_10_7;15;33275.24
lrc2_10_10;11;29210.42
